person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
36,36000,OWN,4.0,MEDICAL,D,10000,16.29,0,0.28,Y,17
25,100000,MORTGAGE,9.0,PERSONAL,A,4800,7.14,0,0.05,N,3
34,68340,MORTGAGE,9.0,HOMEIMPROVEMENT,B,25000,10.99,0,0.37,N,10
24,37648,RENT,0.0,MEDICAL,A,8000,7.29,0,0.21,N,2
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4
21,24000,RENT,5.0,EDUCATION,B,2000,11.14,0,0.08,N,4
25,44000,RENT,1.0,EDUCATION,D,15000,14.59,1,0.34,N,3
26,43000,RENT,3.0,EDUCATION,C,2500,13.49,0,0.06,N,2
40,98004,RENT,4.0,DEBTCONSOLIDATION,F,25000,19.04,1,0.26,Y,16
25,48000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,4800,10.74,0,0.1,N,4
23,80800,RENT,6.0,PERSONAL,A,12000,8.9,0,0.15,N,3
33,75000,MORTGAGE,17.0,MEDICAL,C,12000,,0,0.16,Y,8
24,29000,RENT,4.0,MEDICAL,D,14400,15.7,1,0.5,N,4
32,51000,RENT,1.0,PERSONAL,C,9000,12.99,0,0.18,Y,5
23,79200,MORTGAGE,7.0,EDUCATION,A,5000,5.42,0,0.06,N,3
21,38000,RENT,5.0,EDUCATION,B,12000,10.37,1,0.32,N,4
25,64000,RENT,7.0,EDUCATION,D,8000,15.28,1,0.13,N,4
26,65000,MORTGAGE,6.0,VENTURE,E,22000,17.19,0,0.34,N,2
25,45000,OWN,9.0,MEDICAL,A,3000,6.17,0,0.07,N,4
22,51996,OWN,7.0,VENTURE,B,6000,10.75,0,0.12,N,2
28,59600,RENT,2.0,DEBTCONSOLIDATION,A,5000,5.79,0,0.08,N,10
22,25000,RENT,4.0,VENTURE,B,8000,10.74,1,0.32,N,4
44,57000,RENT,1.0,PERSONAL,B,4200,,0,0.07,N,11
24,47110,MORTGAGE,0.0,PERSONAL,B,11000,10.99,0,0.23,N,4
29,92000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,14000,6.03,0,0.15,N,8
27,76000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,10000,10.99,0,0.13,N,9
21,25000,RENT,6.0,EDUCATION,B,6925,11.71,0,0.28,N,3
24,48000,MORTGAGE,8.0,EDUCATION,A,3100,8.94,0,0.06,N,3
27,26400,RENT,9.0,EDUCATION,B,10000,10.25,1,0.38,N,9
27,30000,RENT,11.0,MEDICAL,B,4900,11.71,0,0.16,N,5
26,37500,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,6.54,0,0.19,N,4
25,60000,RENT,2.0,EDUCATION,B,20000,,1,0.33,N,4
23,42000,RENT,4.0,EDUCATION,B,7400,,0,0.18,N,3
34,65000,OWN,2.0,PERSONAL,A,5600,8.0,0,0.09,N,6
22,98000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,9000,9.63,1,0.09,N,2
25,84000,RENT,2.0,VENTURE,A,6000,8.94,0,0.07,N,2
27,46576,MORTGAGE,8.0,DEBTCONSOLIDATION,A,4800,,0,0.1,N,10
45,115000,MORTGAGE,8.0,VENTURE,A,8000,8.94,0,0.07,N,11
22,51000,RENT,6.0,DEBTCONSOLIDATION,B,15000,11.11,0,0.29,N,4
22,72644,MORTGAGE,3.0,PERSONAL,A,5900,7.49,1,0.08,N,3
22,65000,MORTGAGE,6.0,VENTURE,B,6000,,0,0.09,N,2
24,78000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,3600,5.42,0,0.05,N,4
22,36000,OWN,6.0,EDUCATION,D,12000,15.21,0,0.33,Y,3
32,49500,RENT,2.0,MEDICAL,B,8900,,0,0.18,N,7
31,24000,RENT,2.0,PERSONAL,C,4000,13.48,0,0.17,Y,6
31,96000,MORTGAGE,7.0,VENTURE,C,25000,,1,0.26,N,5
24,65000,RENT,0.0,PERSONAL,A,4800,7.88,0,0.07,N,4
22,53000,RENT,2.0,EDUCATION,B,6500,10.65,0,0.12,N,4
30,51372,RENT,,MEDICAL,A,4500,6.39,0,0.09,N,10
31,85000,MORTGAGE,9.0,VENTURE,D,16000,,0,0.19,Y,10
24,72000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,5000,6.03,0,0.07,N,3
51,74628,MORTGAGE,3.0,PERSONAL,C,3000,13.49,0,0.04,Y,18
22,45000,RENT,2.0,EDUCATION,A,3000,,0,0.07,N,3
31,72500,MORTGAGE,12.0,VENTURE,B,8875,11.99,0,0.12,N,8
22,62322,RENT,7.0,EDUCATION,B,10000,,0,0.16,N,2
25,48000,RENT,3.0,MEDICAL,C,9000,13.79,0,0.19,Y,2
26,26400,RENT,6.0,PERSONAL,B,6000,10.65,0,0.23,N,2
37,60000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,12000,12.73,0,0.2,N,15
26,101000,MORTGAGE,6.0,PERSONAL,A,16000,7.88,0,0.16,N,3
26,108000,RENT,5.0,EDUCATION,D,2000,16.29,0,0.02,N,4
34,44460,MORTGAGE,7.0,DEBTCONSOLIDATION,A,9600,7.49,0,0.22,N,8
30,78000,MORTGAGE,2.0,EDUCATION,B,10800,10.36,0,0.14,N,9
36,45000,RENT,4.0,MEDICAL,B,20000,11.36,1,0.44,N,14
26,26004,MORTGAGE,5.0,HOMEIMPROVEMENT,B,6000,11.99,0,0.23,N,2
29,115000,MORTGAGE,13.0,DEBTCONSOLIDATION,A,5000,6.03,0,0.04,N,9
27,55000,MORTGAGE,2.0,VENTURE,D,7000,,0,0.13,Y,7
21,27000,RENT,5.0,VENTURE,A,5000,5.42,0,0.19,N,3
22,80000,MORTGAGE,0.0,MEDICAL,C,2000,14.72,0,0.03,Y,3
22,21600,RENT,6.0,PERSONAL,D,1600,,0,0.07,Y,4
21,36000,RENT,3.0,EDUCATION,B,10000,10.62,0,0.28,N,3
28,206000,RENT,2.0,HOMEIMPROVEMENT,C,24000,,0,0.12,N,10
33,75000,MORTGAGE,6.0,PERSONAL,A,12000,5.42,0,0.16,N,10
38,53052,RENT,0.0,MEDICAL,B,8000,,0,0.15,N,13
36,50000,RENT,4.0,HOMEIMPROVEMENT,A,15000,8.9,0,0.3,N,14
29,30000,MORTGAGE,3.0,MEDICAL,B,4000,,0,0.13,N,7
27,52656,MORTGAGE,4.0,VENTURE,B,13000,,0,0.25,N,10
22,39000,MORTGAGE,1.0,VENTURE,F,5000,18.21,1,0.13,Y,4
24,50000,MORTGAGE,2.0,PERSONAL,A,6000,7.51,0,0.12,N,3
40,53000,RENT,4.0,MEDICAL,A,4500,6.03,0,0.08,N,16
31,150000,RENT,0.0,HOMEIMPROVEMENT,B,12000,10.74,0,0.08,N,9
24,40000,RENT,1.0,PERSONAL,A,7500,5.79,0,0.19,N,4
23,48000,MORTGAGE,8.0,VENTURE,A,10500,7.51,0,0.22,N,2
54,20000,RENT,2.0,MEDICAL,C,5000,,0,0.25,N,28
34,275004,MORTGAGE,2.0,VENTURE,D,25000,16.32,0,0.09,Y,9
26,72000,RENT,0.0,DEBTCONSOLIDATION,B,9000,10.74,0,0.13,N,2
23,37700,MORTGAGE,4.0,EDUCATION,D,8000,15.62,0,0.21,Y,3
28,48000,RENT,1.0,VENTURE,B,2650,11.26,0,0.06,N,6
26,44000,RENT,10.0,DEBTCONSOLIDATION,D,14000,14.83,1,0.32,N,2
21,35000,OWN,2.0,VENTURE,C,7200,15.23,0,0.21,N,4
32,55000,MORTGAGE,16.0,PERSONAL,C,7000,13.48,0,0.13,Y,8
22,85000,MORTGAGE,2.0,VENTURE,A,6000,7.88,0,0.07,N,2
21,85000,RENT,5.0,PERSONAL,B,3200,10.25,0,0.04,N,4
21,151000,MORTGAGE,5.0,VENTURE,B,8000,11.12,0,0.05,N,2
26,50000,MORTGAGE,0.0,EDUCATION,A,10000,7.74,0,0.2,N,2
23,64000,RENT,7.0,DEBTCONSOLIDATION,C,3500,14.72,1,0.05,Y,2
23,72250,MORTGAGE,7.0,MEDICAL,D,35000,15.99,1,0.41,N,2
24,79200,OWN,8.0,VENTURE,A,3800,6.62,0,0.05,N,4
27,84906,MORTGAGE,11.0,DEBTCONSOLIDATION,A,4500,7.51,0,0.05,N,10
27,20000,RENT,2.0,MEDICAL,B,4000,10.65,0,0.2,N,8
36,24000,RENT,3.0,MEDICAL,A,6500,7.29,0,0.27,N,13
24,52000,RENT,1.0,EDUCATION,C,8000,11.78,0,0.15,N,3
26,24500,RENT,4.0,EDUCATION,B,8875,10.0,1,0.36,N,3
36,61000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,10000,10.25,0,0.16,N,12
22,60000,MORTGAGE,5.0,VENTURE,A,5600,7.49,0,0.09,N,4
22,72000,MORTGAGE,3.0,EDUCATION,A,8400,5.42,0,0.12,N,2
25,12000,RENT,,DEBTCONSOLIDATION,B,3600,9.62,1,0.3,N,2
22,84000,MORTGAGE,3.0,EDUCATION,A,8000,7.88,0,0.1,N,4
27,65000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,22000,14.09,0,0.34,Y,6
27,22000,MORTGAGE,11.0,EDUCATION,A,2500,7.49,0,0.11,N,6
22,50000,MORTGAGE,6.0,VENTURE,B,10000,9.88,0,0.2,N,4
26,75000,RENT,4.0,VENTURE,B,12000,10.37,0,0.16,N,4
22,61000,MORTGAGE,1.0,MEDICAL,A,8000,5.79,0,0.13,N,4
25,82000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,15000,10.37,0,0.18,N,2
24,35000,RENT,4.0,EDUCATION,B,2000,10.59,0,0.06,N,3
26,80000,MORTGAGE,3.0,EDUCATION,A,18000,5.79,0,0.23,N,4
22,38400,MORTGAGE,,PERSONAL,B,5000,11.49,0,0.13,N,3
25,130000,RENT,0.0,PERSONAL,C,20000,15.27,0,0.15,N,2
27,138000,MORTGAGE,5.0,PERSONAL,A,17000,7.88,0,0.12,N,5
23,33195,RENT,5.0,MEDICAL,B,1800,11.99,0,0.05,N,3
27,36672,RENT,11.0,PERSONAL,A,8000,7.9,1,0.22,N,9
27,12000,RENT,0.0,VENTURE,C,4000,14.22,1,0.33,Y,7
28,140000,RENT,0.0,DEBTCONSOLIDATION,A,7400,6.03,0,0.05,N,9
22,45020,RENT,6.0,EDUCATION,B,8300,10.99,0,0.18,N,4
49,74000,MORTGAGE,20.0,DEBTCONSOLIDATION,E,12000,17.99,1,0.16,N,15
22,75000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,18000,5.79,0,0.24,N,2
30,42000,RENT,4.0,DEBTCONSOLIDATION,B,14750,,1,0.35,N,7
26,90000,RENT,3.0,EDUCATION,C,8000,14.27,0,0.09,N,3
48,19200,OWN,1.0,EDUCATION,C,7000,,1,0.36,Y,12
21,23040,OWN,1.0,VENTURE,D,5000,,0,0.22,N,3
22,77250,RENT,3.0,PERSONAL,B,4000,11.71,0,0.05,N,3
22,118812,MORTGAGE,6.0,MEDICAL,C,15000,13.35,0,0.13,N,2
26,29000,RENT,1.0,EDUCATION,C,1000,11.28,1,0.03,N,3
29,145000,MORTGAGE,0.0,VENTURE,D,14000,16.77,0,0.1,Y,5
27,39996,RENT,7.0,DEBTCONSOLIDATION,D,2500,15.65,1,0.06,N,8
21,65000,RENT,5.0,PERSONAL,B,16000,9.91,0,0.25,N,3
25,70000,RENT,9.0,HOMEIMPROVEMENT,D,15000,16.02,0,0.21,N,4
34,47700,RENT,2.0,DEBTCONSOLIDATION,A,9000,7.14,0,0.19,N,10
22,63000,MORTGAGE,6.0,PERSONAL,B,8950,10.99,0,0.14,N,4
27,85000,OWN,2.0,VENTURE,C,10000,13.23,0,0.12,N,7
26,105000,OWN,10.0,VENTURE,D,10000,15.65,0,0.1,Y,4
48,39915,RENT,15.0,VENTURE,A,20000,7.49,1,0.5,N,12
26,95459,RENT,10.0,DEBTCONSOLIDATION,C,4400,13.8,0,0.05,N,4
41,54000,MORTGAGE,6.0,VENTURE,C,5000,13.23,1,0.09,N,12
40,148350,MORTGAGE,11.0,HOMEIMPROVEMENT,A,5000,6.03,0,0.03,N,16
24,50740,RENT,0.0,MEDICAL,A,6000,9.63,0,0.12,N,3
24,113000,MORTGAGE,8.0,VENTURE,A,2100,7.4,0,0.02,N,3
38,117960,MORTGAGE,0.0,MEDICAL,A,12000,,0,0.1,N,17
32,93000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,5.42,0,0.11,N,10
22,46800,RENT,5.0,DEBTCONSOLIDATION,B,2800,10.37,0,0.06,N,3
29,88055,MORTGAGE,6.0,DEBTCONSOLIDATION,B,21600,12.42,0,0.25,N,8
25,58000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,7200,11.71,0,0.12,N,3
22,85000,MORTGAGE,0.0,VENTURE,A,12800,6.54,0,0.15,N,3
23,87000,RENT,1.0,DEBTCONSOLIDATION,B,7500,10.33,0,0.09,N,2
38,34800,RENT,1.0,DEBTCONSOLIDATION,C,2100,14.72,0,0.06,N,13
23,30000,RENT,0.0,PERSONAL,B,5000,11.86,0,0.17,N,2
59,42000,RENT,14.0,PERSONAL,A,9600,7.66,0,0.23,N,19
21,57000,OWN,5.0,VENTURE,B,8000,10.65,0,0.14,N,2
21,35000,OWN,5.0,VENTURE,C,6500,13.43,0,0.19,N,4
23,120000,MORTGAGE,2.0,PERSONAL,D,24250,16.02,0,0.2,Y,4
29,48000,MORTGAGE,1.0,VENTURE,C,7000,12.68,0,0.15,Y,6
25,100000,MORTGAGE,9.0,PERSONAL,A,6000,8.9,0,0.06,N,3
24,39000,RENT,4.0,HOMEIMPROVEMENT,C,8000,,1,0.21,N,2
22,43000,OWN,7.0,EDUCATION,A,6000,7.74,0,0.14,N,4
30,110000,RENT,8.0,HOMEIMPROVEMENT,B,12000,12.18,0,0.11,N,7
30,75000,RENT,9.0,PERSONAL,D,25000,15.2,1,0.33,N,5
24,37500,RENT,2.0,DEBTCONSOLIDATION,C,1600,11.03,0,0.04,Y,3
23,28000,MORTGAGE,4.0,HOMEIMPROVEMENT,D,5225,14.84,1,0.19,N,2
29,46000,MORTGAGE,3.0,PERSONAL,B,6000,11.49,0,0.13,N,8
22,45000,RENT,0.0,PERSONAL,A,10500,6.99,0,0.23,N,2
21,20004,OWN,2.0,EDUCATION,B,2500,9.63,0,0.12,N,3
22,55000,MORTGAGE,6.0,PERSONAL,C,13000,13.85,0,0.24,N,3
27,50000,RENT,0.0,VENTURE,B,2000,10.99,0,0.04,N,5
23,32000,RENT,0.0,EDUCATION,A,4000,7.68,0,0.13,N,3
22,35000,RENT,1.0,EDUCATION,C,2400,,0,0.07,Y,2
24,156000,MORTGAGE,6.0,MEDICAL,C,15000,13.57,0,0.1,Y,4
22,43000,MORTGAGE,5.0,MEDICAL,B,7000,10.62,0,0.16,N,4
36,26880,OWN,0.0,VENTURE,A,4500,7.66,0,0.17,N,14
23,33004,OWN,5.0,EDUCATION,A,5000,8.59,0,0.15,N,4
31,20000,OWN,5.0,VENTURE,B,5000,11.83,0,0.25,N,5
27,15600,RENT,11.0,MEDICAL,B,2800,10.65,1,0.18,N,7
24,71000,MORTGAGE,6.0,MEDICAL,B,10000,10.36,0,0.14,N,4
42,100000,RENT,3.0,VENTURE,D,10000,13.55,0,0.1,Y,13
24,135000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,10000,,0,0.07,N,3
31,36000,RENT,4.0,MEDICAL,B,8000,10.65,0,0.22,N,6
29,80000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,25000,7.49,0,0.31,N,7
22,35000,RENT,6.0,MEDICAL,B,5000,,0,0.14,N,4
23,120000,MORTGAGE,7.0,VENTURE,B,4400,11.71,0,0.04,N,3
24,29200,MORTGAGE,6.0,PERSONAL,A,2500,6.76,0,0.09,N,2
29,68500,RENT,4.0,VENTURE,B,10000,12.53,0,0.15,N,7
39,56000,RENT,16.0,DEBTCONSOLIDATION,C,10000,13.06,0,0.18,N,11
32,81400,RENT,2.0,VENTURE,D,20000,14.84,1,0.25,Y,6
24,20485,RENT,,PERSONAL,A,5575,7.9,0,0.27,N,4
58,85000,MORTGAGE,0.0,PERSONAL,B,8000,11.49,0,0.09,N,28
23,35000,RENT,4.0,PERSONAL,C,3000,13.85,0,0.09,N,3
24,30000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,17000,11.99,1,0.57,N,3
28,81996,MORTGAGE,12.0,EDUCATION,B,3000,12.42,0,0.04,N,5
23,24000,MORTGAGE,5.0,MEDICAL,B,1375,11.11,1,0.06,N,3
23,78000,RENT,6.0,VENTURE,C,14400,14.27,0,0.18,Y,4
28,36000,RENT,13.0,MEDICAL,A,10000,8.59,0,0.28,N,9
22,58000,RENT,0.0,EDUCATION,A,17475,7.51,0,0.3,N,3
24,75000,RENT,4.0,VENTURE,B,20000,8.88,0,0.27,N,2
24,83000,RENT,4.0,HOMEIMPROVEMENT,A,8300,7.88,0,0.1,N,2
25,70000,MORTGAGE,5.0,PERSONAL,A,8000,7.88,0,0.11,N,4
41,23400,RENT,2.0,VENTURE,B,5375,,0,0.23,N,16
27,106000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,4000,11.71,0,0.04,N,6
41,137004,RENT,0.0,VENTURE,A,5600,8.59,0,0.04,N,11
27,70176,RENT,3.0,VENTURE,A,9000,7.88,0,0.13,N,8
22,120000,MORTGAGE,0.0,EDUCATION,D,16800,15.62,0,0.14,N,4
24,65200,MORTGAGE,5.0,MEDICAL,B,3000,11.26,0,0.05,N,3
24,72000,RENT,8.0,MEDICAL,A,12000,7.88,0,0.17,N,4
32,24000,RENT,,MEDICAL,B,3500,11.86,0,0.15,N,10
46,54250,RENT,3.0,PERSONAL,B,3600,10.0,0,0.07,N,14
22,54000,RENT,2.0,MEDICAL,D,10000,13.36,1,0.19,Y,3
31,50000,MORTGAGE,4.0,VENTURE,A,16000,8.9,0,0.32,N,8
22,42000,RENT,2.0,MEDICAL,D,12000,15.65,1,0.29,Y,3
22,80000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,1500,10.37,0,0.02,N,4
23,40440,RENT,0.0,EDUCATION,C,5500,12.73,0,0.14,N,4
24,96000,MORTGAGE,7.0,PERSONAL,C,6000,13.92,0,0.06,N,3
21,25000,OWN,0.0,EDUCATION,B,8800,9.33,0,0.35,N,3
25,75000,MORTGAGE,9.0,VENTURE,C,5000,13.79,0,0.07,Y,4
25,29004,RENT,0.0,PERSONAL,C,5600,13.79,1,0.19,N,4
26,63180,OWN,4.0,HOMEIMPROVEMENT,C,5825,13.43,0,0.09,Y,2
26,95000,RENT,3.0,MEDICAL,C,12500,12.61,0,0.13,N,2
24,22000,RENT,3.0,MEDICAL,C,4000,13.92,0,0.18,N,3
26,182000,MORTGAGE,10.0,MEDICAL,B,24000,,0,0.13,N,4
33,60000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,5000,5.42,0,0.08,N,7
23,45240,RENT,4.0,VENTURE,A,3200,7.37,0,0.07,N,3
22,100000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,15000,8.94,0,0.15,N,3
32,135000,MORTGAGE,10.0,PERSONAL,B,10000,10.99,0,0.07,N,6
23,72000,RENT,5.0,DEBTCONSOLIDATION,D,3000,16.89,1,0.04,Y,4
28,30000,RENT,4.0,MEDICAL,A,8000,,0,0.27,N,8
27,42000,MORTGAGE,11.0,PERSONAL,A,3500,8.49,0,0.08,N,9
23,80400,RENT,4.0,EDUCATION,A,9000,7.51,0,0.11,N,4
35,30000,RENT,1.0,EDUCATION,C,7500,,1,0.25,Y,6
27,46000,MORTGAGE,11.0,EDUCATION,A,8725,9.32,1,0.19,N,9
25,84000,RENT,5.0,DEBTCONSOLIDATION,B,9000,11.36,0,0.11,N,2
25,50400,MORTGAGE,,HOMEIMPROVEMENT,A,6000,7.14,0,0.12,N,4
32,180000,MORTGAGE,12.0,PERSONAL,A,10000,7.9,0,0.06,N,10
25,39000,RENT,0.0,HOMEIMPROVEMENT,E,4000,17.74,1,0.1,N,2
23,46776,OWN,7.0,VENTURE,D,15000,13.24,0,0.32,N,3
26,72000,RENT,8.0,PERSONAL,A,7000,9.32,0,0.1,N,2
41,58000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,5200,12.87,0,0.09,N,11
24,130000,MORTGAGE,8.0,PERSONAL,C,13000,13.61,0,0.1,N,4
28,15000,RENT,0.0,MEDICAL,B,1800,11.49,0,0.12,N,7
25,70000,RENT,3.0,MEDICAL,A,5600,7.9,0,0.08,N,3
42,42000,OWN,4.0,VENTURE,A,12000,6.03,0,0.29,N,15
25,23920,RENT,0.0,MEDICAL,C,4000,14.35,0,0.17,N,2
23,126996,OWN,2.0,EDUCATION,B,11000,10.0,0,0.09,N,2
23,50000,MORTGAGE,6.0,VENTURE,B,17000,12.42,0,0.34,N,4
22,24000,OWN,0.0,DEBTCONSOLIDATION,D,4200,15.62,0,0.17,Y,2
25,96000,RENT,3.0,DEBTCONSOLIDATION,B,12000,11.99,0,0.13,N,3
30,60000,MORTGAGE,6.0,EDUCATION,D,15000,15.31,0,0.25,Y,9
45,35004,MORTGAGE,5.0,DEBTCONSOLIDATION,C,10000,,0,0.29,Y,17
27,42996,RENT,1.0,MEDICAL,C,5000,13.61,0,0.12,N,6
24,50000,RENT,8.0,MEDICAL,E,15850,16.35,1,0.32,Y,3
28,47004,MORTGAGE,12.0,PERSONAL,C,10000,13.61,1,0.21,Y,6
30,100000,MORTGAGE,9.0,MEDICAL,A,12000,8.9,0,0.12,N,10
22,62000,MORTGAGE,6.0,PERSONAL,A,5000,6.03,0,0.08,N,4
25,48600,RENT,0.0,MEDICAL,A,12000,,0,0.25,N,4
31,54000,RENT,2.0,DEBTCONSOLIDATION,C,5500,13.23,0,0.1,N,9
24,13200,RENT,6.0,VENTURE,D,4000,15.65,1,0.3,Y,3
36,24000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,1500,9.63,0,0.06,N,16
24,36000,RENT,2.0,VENTURE,D,8000,14.96,1,0.22,Y,2
28,46551,MORTGAGE,12.0,VENTURE,A,5000,,0,0.11,N,7
25,170000,MORTGAGE,0.0,EDUCATION,A,3850,6.17,0,0.02,N,4
31,305000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,35000,17.58,0,0.11,Y,10
24,45000,RENT,1.0,DEBTCONSOLIDATION,B,3000,9.99,0,0.07,N,4
33,68508,RENT,17.0,MEDICAL,A,7000,8.0,0,0.1,N,6
29,100000,RENT,3.0,HOMEIMPROVEMENT,C,15000,12.04,0,0.15,N,10
32,307000,OWN,10.0,VENTURE,C,11000,14.26,0,0.04,Y,10
38,28584,RENT,4.0,EDUCATION,C,5400,13.47,0,0.19,N,11
22,24000,RENT,0.0,EDUCATION,E,1500,18.79,1,0.06,Y,3
22,39996,RENT,4.0,PERSONAL,C,3000,14.35,0,0.08,Y,3
21,30000,RENT,5.0,EDUCATION,B,8000,,0,0.27,N,2
23,35000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,12000,12.42,0,0.34,N,2
30,51600,RENT,5.0,DEBTCONSOLIDATION,A,9000,6.54,0,0.17,N,6
38,126000,MORTGAGE,3.0,EDUCATION,D,2400,,0,0.02,Y,14
48,70000,MORTGAGE,31.0,HOMEIMPROVEMENT,D,9000,14.54,0,0.13,N,17
27,45000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,5000,9.25,0,0.11,N,10
24,18000,RENT,8.0,PERSONAL,B,6000,12.21,1,0.33,N,2
30,36000,RENT,3.0,DEBTCONSOLIDATION,C,24250,12.61,1,0.67,Y,7
33,28800,RENT,5.0,MEDICAL,B,4000,9.88,0,0.14,N,5
29,120000,RENT,3.0,EDUCATION,A,15000,6.91,0,0.13,N,7
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2
24,48000,RENT,0.0,EDUCATION,A,6000,,0,0.13,N,3
23,52000,RENT,4.0,DEBTCONSOLIDATION,C,6000,14.22,0,0.12,N,4
25,59000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,3600,12.98,1,0.06,N,3
43,86015,MORTGAGE,3.0,VENTURE,B,2200,,0,0.03,N,16
30,52000,MORTGAGE,4.0,EDUCATION,C,4200,,0,0.08,Y,6
25,60000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,9600,6.03,0,0.16,N,3
29,72000,MORTGAGE,0.0,VENTURE,B,24000,10.99,0,0.33,N,6
29,73000,RENT,1.0,HOMEIMPROVEMENT,B,20000,11.83,1,0.27,N,9
31,125000,OWN,5.0,MEDICAL,A,30000,7.51,0,0.24,N,9
25,57424,RENT,2.0,MEDICAL,D,12000,15.31,1,0.18,N,4
28,46000,MORTGAGE,12.0,EDUCATION,A,6000,8.0,0,0.13,N,7
23,54000,RENT,3.0,VENTURE,A,5500,8.94,0,0.1,N,3
25,48000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,4800,10.74,0,0.1,N,4
41,26400,MORTGAGE,4.0,DEBTCONSOLIDATION,B,6000,12.21,1,0.23,N,16
38,120000,RENT,3.0,DEBTCONSOLIDATION,C,10000,10.28,0,0.08,Y,12
23,30000,RENT,5.0,MEDICAL,A,8250,7.51,0,0.28,N,4
24,40000,OWN,4.0,PERSONAL,C,2000,14.35,0,0.05,N,2
62,66000,RENT,2.0,EDUCATION,B,6000,,0,0.09,N,23
27,80000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,24000,11.12,0,0.3,N,10
38,45000,RENT,1.0,MEDICAL,C,5000,12.68,0,0.11,Y,13
35,225000,MORTGAGE,17.0,VENTURE,A,5000,7.49,0,0.02,N,9
22,20400,RENT,,PERSONAL,B,5000,12.42,0,0.25,N,2
25,44196,MORTGAGE,8.0,HOMEIMPROVEMENT,A,4000,7.51,0,0.09,N,3
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2
25,40800,MORTGAGE,9.0,MEDICAL,B,9700,9.63,0,0.24,N,4
35,148000,MORTGAGE,19.0,DEBTCONSOLIDATION,D,25000,14.62,1,0.17,Y,10
34,24000,OWN,4.0,HOMEIMPROVEMENT,C,2400,13.98,0,0.1,N,9
37,250000,MORTGAGE,2.0,EDUCATION,C,34000,14.79,0,0.14,N,16
24,40000,MORTGAGE,2.0,VENTURE,B,10000,11.83,0,0.25,N,3
30,43000,RENT,4.0,VENTURE,D,8000,16.49,0,0.19,N,5
35,23000,RENT,13.0,MEDICAL,A,6500,8.63,0,0.28,N,6
22,42000,MORTGAGE,6.0,EDUCATION,C,6000,12.99,0,0.14,Y,2
35,120000,RENT,4.0,VENTURE,B,12000,10.99,0,0.1,N,5
33,92000,MORTGAGE,18.0,PERSONAL,A,12000,5.79,0,0.13,N,5
21,35000,OWN,5.0,EDUCATION,C,6500,13.43,0,0.19,N,2
24,80000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,24000,14.35,0,0.3,Y,3
22,48000,RENT,7.0,PERSONAL,B,7200,12.69,0,0.15,N,2
22,47000,OWN,6.0,MEDICAL,A,3000,5.42,0,0.06,N,3
22,70000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6000,5.42,0,0.09,N,2
39,108000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,12000,6.99,1,0.11,N,13
28,81000,MORTGAGE,0.0,VENTURE,C,5000,12.53,0,0.06,N,9
43,19440,RENT,1.0,HOMEIMPROVEMENT,B,7500,9.01,1,0.39,N,11
30,49641,MORTGAGE,9.0,PERSONAL,C,8400,13.11,0,0.17,Y,6
22,48000,RENT,3.0,DEBTCONSOLIDATION,B,6700,11.99,0,0.14,N,3
23,36000,RENT,1.0,MEDICAL,C,5000,13.22,0,0.14,N,4
